lane_id,title,domain,status,held_product_ids,next_verification,source_url
R01,Election news pilot,government,not_yet_available,,"Define named publishers and a bounded election-news index/feed set, then implement index pagination and article-original capture.",https://www.data.govt.nz/
R02,Beehive releases,government,held_snapshot,P01,Create a separately scoped collector for Beehive speeches/other products; do not broaden this Releases completion claim.,https://www.beehive.govt.nz/releases
R03,Benefits & hardship,people,held_partial,P12,"Capture the publisher index/API that enumerates statistical releases, fixture-test all pagination and release variants, then reconcile stable IDs and loaded originals to that index.",https://www.msd.govt.nz/about-msd-and-our-work/publications-resources/statistics/
R04,Bill publications,parliament,roadmap_partial,P02,Resolve only the three no-public-URL bills and the bounded legacy 128-2 versions-page failure when official publication becomes accessible; do not claim all legislation.,https://www.parliament.nz/
R05,Bill quality assessments,parliament,roadmap_discovery,,"Define a finite public bill-quality assessment input list and reconcile one assessment per declared bill.",https://www.parliament.nz/
R06,Current bills,parliament,held_partial,P03,"Refresh the source index, compare the reported total and stable IDs with the 95-record snapshot, and open a new versioned denominator before claiming a newer complete selected product.",https://www.parliament.nz/
R07,Candidate roster,elections,held_snapshot,P04,"At the Electoral Commission nomination timetable/publication point, capture the official 2026 candidate index and its evidence date, then reconcile all stable IDs. Do not infer non-publication from 404s.",https://elections.nz/
R08,Historical census,people,roadmap_partial,,"Capture the publisher index/API that enumerates census products, fixture-test all pagination and release variants, then reconcile stable IDs and loaded originals to that index.",https://www.stats.govt.nz/
R09,Climate & energy,economy,roadmap_partial,,"Capture the publisher index/API that enumerates dataset or reports, fixture-test all pagination and release variants, then reconcile stable IDs and loaded originals to that index.",https://www.data.govt.nz/
R10,Current public entities,parliament,held_partial,P10,"Capture the publisher index/API that enumerates entity records, fixture-test all pagination and release variants, then reconcile stable IDs and loaded originals to that index.",https://www.parliament.nz/
R11,Education outcomes,people,roadmap_partial,,"Capture the publisher index/API that enumerates dataset or reports, fixture-test all pagination and release variants, then reconcile stable IDs and loaded originals to that index.",https://www.data.govt.nz/
R12,Evidence catalogue documentation,platform,roadmap_discovery,,Define the finite public catalogue and reconcile one entry per declared source lane.,https://www.data.govt.nz/
R13,Parliament source snapshot,platform,roadmap_discovery,,Define the finite Parliament source list and reconcile each declared item.,https://www.parliament.nz/
R14,Evidence snapshot documentation,platform,roadmap_discovery,,Define a versioned public snapshot manifest and reconcile each declared item.,https://www.parliament.nz/
